bc,L,n,c,delta,samples,zeta_s,zeta_s_err,W2_direct,W2_parseval
periodic,131072,1.0,1.0,1.0,1000,1.500171,0.001811,3228178730602.491211,3228178730602.496094
periodic,131072,1.1,1.0,1.0,1000,1.495853,0.001817,608138784538.062744,608138784538.062378
periodic,131072,1.3,1.0,1.0,1000,1.472546,0.001840,77396548774.261703,77396548774.261612
periodic,131072,1.5,1.0,1.0,1000,1.444080,0.001887,22800698460.541615,22800698460.541634
periodic,131072,2.0,1.0,1.0,1000,1.387214,0.001981,4555148846.951361,4555148846.951363
periodic,131072,3.0,1.0,1.0,1000,1.329077,0.002073,1277606617.309494,1277606617.309494
periodic,131072,4.0,1.0,1.0,1000,1.301960,0.002114,744739339.726785,744739339.726784
periodic,2048,0.8,1.0,1.0,1000,1.485697,0.002409,649825616.372645,649825616.372645
periodic,2048,0.85,1.0,1.0,1000,1.491637,0.002083,151057862.408909,151057862.408909
periodic,2048,0.9,1.0,1.0,1000,1.496057,0.001972,51479355.459882,51479355.459882
periodic,2048,1.0,1.0,1.0,1000,1.499454,0.001953,11730258.111090,11730258.111090
periodic,2048,1.1,1.0,1.0,1000,1.495088,0.001959,4463977.995880,4463977.995880
periodic,2048,1.3,1.0,1.0,1000,1.471124,0.001931,1367728.464634,1367728.464634
periodic,2048,1.5,1.0,1.0,1000,1.441863,0.001894,682405.527473,682405.527473
periodic,2048,2.0,1.0,1.0,1000,1.383713,0.001850,275128.999388,275128.999388
periodic,2048,3.0,1.0,1.0,1000,1.323673,0.001847,135264.818720,135264.818720
periodic,2048,4.0,1.0,1.0,1000,1.295504,0.001814,100283.068351,100283.068351
periodic,2097152,0.8,1.0,1.0,1000,1.486385,0.002099,67312640758446194688.000000,67312640758446292992.000000
periodic,2097152,0.85,1.0,1.0,1000,1.491653,0.001773,3013526693858423808.000000,3013526693858421248.000000
periodic,2097152,0.9,1.0,1.0,1000,1.495652,0.001693,298713499976554240.000000,298713499976554624.000000
periodic,2097152,1.0,1.0,1.0,1000,1.498591,0.001699,12088895882009736.000000,12088895882009736.000000
periodic,2097152,1.1,1.0,1.0,1000,1.493972,0.001705,1454160728441777.000000,1454160728441775.000000
periodic,2097152,1.3,1.0,1.0,1000,1.469979,0.001716,105635368312117.765625,105635368312117.812500
periodic,2097152,1.5,1.0,1.0,1000,1.441247,0.001734,22225689679217.664062,22225689679217.683594
periodic,2097152,2.0,1.0,1.0,1000,1.385264,0.001783,2833465061825.129883,2833465061825.128906
periodic,2097152,3.0,1.0,1.0,1000,1.328935,0.001827,554421974489.374390,554421974489.374146
periodic,2097152,4.0,1.0,1.0,1000,1.302602,0.001845,276896223353.576416,276896223353.576538
periodic,32768,0.8,1.0,1.0,1000,1.487788,0.002060,17169169672859.066406,17169169672859.091797
periodic,32768,0.85,1.0,1.0,1000,1.492994,0.001770,2056724817118.000244,2056724817117.998779
periodic,32768,0.9,1.0,1.0,1000,1.497026,0.001739,426134147104.623291,426134147104.623962
periodic,32768,1.0,1.0,1.0,1000,1.500602,0.001833,48350193387.215637,48350193387.215691
periodic,32768,1.1,1.0,1.0,1000,1.497149,0.001888,11555033490.542366,11555033490.542379
periodic,32768,1.3,1.0,1.0,1000,1.475301,0.001903,1978462288.845878,1978462288.845877
periodic,32768,1.5,1.0,1.0,1000,1.447540,0.001885,696074972.575959,696074972.575958
periodic,32768,2.0,1.0,1.0,1000,1.391842,0.001858,176103353.170077,176103353.170078
periodic,32768,3.0,1.0,1.0,1000,1.334912,0.001899,59637770.777621,59637770.777621
periodic,32768,4.0,1.0,1.0,1000,1.308092,0.001930,37685592.836079,37685592.836079
periodic,524288,0.8,1.0,1.0,1000,1.484234,0.002350,447628571002697536.000000,447628571002697856.000000
periodic,524288,0.85,1.0,1.0,1000,1.490659,0.002045,27642112490071040.000000,27642112490071084.000000
periodic,524288,0.9,1.0,1.0,1000,1.495709,0.001939,3486072151839616.000000,3486072151839612.000000
periodic,524288,1.0,1.0,1.0,1000,1.500619,0.001882,197515974464551.187500,197515974464550.781250
periodic,524288,1.1,1.0,1.0,1000,1.497890,0.001839,29720121395155.023438,29720121395155.066406
periodic,524288,1.3,1.0,1.0,1000,1.476943,0.001808,2854668644193.087402,2854668644193.090820
periodic,524288,1.5,1.0,1.0,1000,1.449939,0.001844,710057592825.464233,710057592825.464478
periodic,524288,2.0,1.0,1.0,1000,1.395278,0.001977,113146854162.036911,113146854162.037109
periodic,524288,3.0,1.0,1.0,1000,1.339048,0.002108,26473673883.780724,26473673883.780682
periodic,524288,4.0,1.0,1.0,1000,1.312531,0.002149,14276749999.791698,14276749999.791710
periodic,8192,0.8,1.0,1.0,1000,1.481913,0.002271,103405168546.787247,103405168546.787216
periodic,8192,0.85,1.0,1.0,1000,1.487468,0.001987,17277814512.195671,17277814512.195686
periodic,8192,0.9,1.0,1.0,1000,1.491934,0.001897,4596446043.398973,4596446043.398968
periodic,8192,1.0,1.0,1.0,1000,1.496241,0.001829,740481174.656355,740481174.656354
periodic,8192,1.1,1.0,1.0,1000,1.493180,0.001792,223637680.224073,223637680.224073
periodic,8192,1.3,1.0,1.0,1000,1.471635,0.001847,51330314.874878,51330314.874878
periodic,8192,1.5,1.0,1.0,1000,1.444133,0.001917,21537309.218102,21537309.218102
periodic,8192,2.0,1.0,1.0,1000,1.388882,0.001973,6893518.059366,6893518.059366
periodic,8192,3.0,1.0,1.0,1000,1.332478,0.002002,2818453.386235,2818453.386235
periodic,8192,4.0,1.0,1.0,1000,1.305879,0.001983,1930566.125550,1930566.125550
