bc,L,n,c,delta,samples,zeta_s,zeta_s_err,W2_direct,W2_parseval
free,131072,1.1,1.0,1.0,100,1.499013,0.001629,3892637938867.183105,3892637938867.183105
free,524288,1.1,1.0,1.0,100,1.498901,0.000811,154395981327344.031250,154395981327343.968750
free,1048576,1.1,1.0,1.0,100,1.499349,0.000575,1100568548452378.375000,1100568548452379.000000
free,2097152,1.1,1.0,1.0,100,1.499784,0.000407,11407785895781466.000000,11407785895781466.000000
free,2048,1.3,1.0,1.0,100,1.474192,0.013750,8110807.339566,8110807.339566
free,8192,1.3,1.0,1.0,100,1.474545,0.006375,272180769.004581,272180769.004581
free,32768,1.3,1.0,1.0,100,1.482920,0.003413,13265682015.586658,13265682015.586657
free,131072,1.3,1.0,1.0,100,1.489704,0.001699,412868244111.876953,412868244111.876770
free,524288,1.3,1.0,1.0,100,1.489962,0.000844,12965188895665.632812,12965188895665.630859
free,1048576,1.3,1.0,1.0,100,1.490997,0.000598,79760888027749.218750,79760888027749.234375
free,2097152,1.3,1.0,1.0,100,1.492434,0.000423,677635529125755.000000,677635529125754.625000
free,2048,1.5,1.0,1.0,100,1.437451,0.013290,3639250.240406,3639250.240406
free,8192,1.5,1.0,1.0,100,1.446171,0.006624,103448238.406454,103448238.406454
free,32768,1.5,1.0,1.0,100,1.458083,0.003464,4131033138.348507,4131033138.348508
free,131072,1.5,1.0,1.0,100,1.468157,0.001760,109580197544.734390,109580197544.734467
free,524288,1.5,1.0,1.0,100,1.468122,0.000873,2992051224260.795410,2992051224260.793945
free,1048576,1.5,1.0,1.0,100,1.469231,0.000614,16833786676546.751953,16833786676546.751953
free,2097152,1.5,1.0,1.0,100,1.471058,0.000433,127402299711224.312500,127402299711224.234375
free,2048,2.0,1.0,1.0,100,1.371101,0.012826,1277097.705888,1277097.705888
free,8192,2.0,1.0,1.0,100,1.390274,0.006861,29179709.576142,29179709.576142
free,32768,2.0,1.0,1.0,100,1.401879,0.003502,891339306.281911,891339306.281911
free,131072,2.0,1.0,1.0,100,1.413170,0.001825,19182532949.700897,19182532949.700901
free,524288,2.0,1.0,1.0,100,1.410671,0.000905,434490243417.759460,434490243417.758850
free,1048576,2.0,1.0,1.0,100,1.410713,0.000627,2167094196057.192139,2167094196057.191650
free,2097152,2.0,1.0,1.0,100,1.411638,0.000440,14122216803117.740234,14122216803117.738281
free,2048,3.0,1.0,1.0,100,1.308798,0.012618,563519.406465,563519.406465
free,8192,3.0,1.0,1.0,100,1.334293,0.006986,10838610.702732,10838610.702732
free,32768,3.0,1.0,1.0,100,1.342857,0.003532,266691100.038992,266691100.038992
free,131072,3.0,1.0,1.0,100,1.353749,0.001849,4872691194.226910,4872691194.226912
free,524288,3.0,1.0,1.0,100,1.349451,0.000915,94949521114.087631,94949521114.087524
free,1048576,3.0,1.0,1.0,100,1.348462,0.000630,429541148898.083374,429541148898.082764
free,2097152,3.0,1.0,1.0,100,1.348607,0.000442,2493223678454.397461,2493223678454.395508
free,2048,4.0,1.0,1.0,100,1.280617,0.012563,399204.007077,399204.007077
free,8192,4.0,1.0,1.0,100,1.308236,0.007028,7136699.774198,7136699.774198
free,32768,4.0,1.0,1.0,100,1.315280,0.003547,159976878.046339,159976878.046339
free,131072,4.0,1.0,1.0,100,1.326049,0.001853,2727651721.915688,2727651721.915689
free,524288,4.0,1.0,1.0,100,1.321338,0.000917,49811116316.646263,49811116316.646286
free,1048576,4.0,1.0,1.0,100,1.319971,0.000631,216033180424.931519,216033180424.931274
free,2097152,4.0,1.0,1.0,100,1.319921,0.000442,1194590833720.693115,1194590833720.691650
